date,year,month,weekday,electricity_kwh,diesel_liters,explosives_kg,coal_output_tonnes,equipment_hours,waste_tons,methane_emission_kg,renewable_share_percent,trees_planted,rainfall_mm,temperature_c,humidity_percent,diesel_price_rs_per_l,power_cost_rs_per_kwh,employees_present,employee_commute_km,transport_distance_km,avg_truck_load_ton,revenue_rs,operational_cost_rs,co2e_tons,co2e_net_after_offset_tons,emission_intensity_tons_per_tonne_coal,offset_absorption_tons_per_day,offset_ratio,green_cover_hectares,lpg_kg,transport_tkm
2021-01-01,2021,1,4,9679.775285034279,2443.0598582432217,117,2149.902022654134,155,120,105.15825110808262,8.0,5,9,24.2,59,105.54,7.23,576,3456,12596,28.8,8570352,627139,14.7741,14.4891,0.005735,0.284932,0.019286,40,6.634413941778695,32447296
2021-01-02,2021,1,5,13788.24303198836,2813.825436680533,175,2097.911247345305,252,175,72.72337406019898,8.0,3,3,21.6,46,102.41,8.1,608,4864,9722,30.7,7017176,636868,21.8593,21.5743,0.008236,0.284932,0.013035,40,13.909843737614876,25802188
2021-01-03,2021,1,6,13422.570877798567,3004.42762190671,178,2076.4642140638402,219,204,47.10739844653293,9.0,4,23,40.6,54,108.6,6.83,623,7476,12480,25.8,9452908,741338,19.4837,19.1988,0.007016,0.284932,0.014624,40,8.187410645382394,34656960
2021-01-04,2021,1,0,12532.898880064697,2954.4786173200537,147,1714.2522889521085,207,155,72.77859279353669,9.0,1,30,24.8,66,92.05,6.58,547,3829,12180,30.8,5257142,765362,20.2251,19.9401,0.009333,0.284932,0.014088,40,11.697818669806836,26394060
2021-01-05,2021,1,1,14031.147670017343,3093.574530676402,170,2283.3447840284266,244,145,85.19343439176812,8.0,5,15,27.3,61,85.09,8.62,577,4039,11665,20.4,9264501,576512,23.0631,22.7781,0.008118,0.284932,0.012354,40,9.50082906684351,33140265
2021-01-06,2021,1,2,13174.459923526889,2991.486222004078,178,1848.603236111151,215,116,54.736569575296535,10.0,4,15,22.2,47,88.62,7.72,617,6170,10325,22.6,7362387,554913,20.8237,20.5387,0.009342,0.284932,0.013683,40,6.925008676969604,23014425
2021-01-07,2021,1,3,9983.181633422093,2345.718094452307,127,1845.10901662422,182,116,76.51798829095739,11.0,2,8,36.8,54,80.79,6.61,573,3438,10932,20.4,7042729,704869,16.6614,16.3765,0.007123,0.284932,0.017101,40,13.990970919545118,25569948
2021-01-08,2021,1,4,8504.611034119582,1928.2272564187235,111,1364.6536596209787,135,64,26.788813179626604,7.0,2,8,36.3,45,107.9,7.83,621,2235,8406,28.2,4806300,542368,13.6958,13.4109,0.007908,0.284932,0.020804,40,7.154322796669542,14559192
2021-01-09,2021,1,5,11999.501600782776,3052.4367916238716,155,1924.350071884781,226,92,73.03638886691414,7.0,4,3,38.2,43,94.53,9.06,551,3306,11917,31.1,8057376,804283,19.3226,19.0377,0.007971,0.284932,0.014746,40,14.90574902899742,28886808
2021-01-10,2021,1,6,13600.838174083738,3254.200937579773,157,2101.259990900568,205,89,94.52324003653032,10.0,4,8,30.9,55,91.33,7.63,632,4424,15163,31.8,5533936,706215,20.6687,20.3838,0.008228,0.284932,0.013786,40,11.821777969365453,38089456
2021-01-11,2021,1,0,12615.850715730141,3168.0508091508354,153,1939.5029998511702,193,92,63.6705530254172,9.0,3,19,20.7,58,104.18,9.44,645,6450,13649,28.2,6196608,747155,19.8595,19.5746,0.008358,0.284932,0.014347,40,10.865735771800855,32430024
2021-01-12,2021,1,1,12109.188456474394,2828.147018184717,152,1726.754813370285,198,94,82.1546375632305,8.0,0,26,22.3,52,97.3,7.6,642,5136,12425,24.8,6653064,821785,19.7608,19.4759,0.008625,0.284932,0.014419,40,11.802972075994935,28465675
2021-01-13,2021,1,2,12573.93119549002,2729.908228133382,144,1541.3047858129248,217,69,43.47707083874954,10.0,2,14,37.5,52,96.32,7.16,573,4011,7621,29.2,5716896,734980,17.3823,17.0974,0.009614,0.284932,0.016392,40,9.066543249540064,13778768
2021-01-14,2021,1,3,10003.31061893071,2464.109034103272,141,2100.373238794973,190,175,48.52614336838597,7.0,4,6,19.7,43,105.6,8.67,563,2702,11159,29.6,7715687,606025,15.7588,15.4739,0.006068,0.284932,0.018081,40,14.945430525656398,28979923
2021-01-15,2021,1,4,10070.735545311341,2577.680029373571,132,2354.668934139517,198,208,63.750148164832474,10.0,2,5,33.1,59,86.52,7.69,574,2410,14578,29.7,9619659,585240,15.6206,15.3356,0.005422,0.284932,0.018241,40,8.33131606831003,41999218
2021-01-16,2021,1,5,13832.860392788936,3275.1133542462458,177,2176.3997958112077,223,186,71.26548264429636,6.0,5,13,27.3,49,87.59,8.04,650,7800,10701,28.7,6862950,842971,21.1386,20.8537,0.007777,0.284932,0.013479,40,5.713573240983356,29085318
2021-01-17,2021,1,6,11681.751274452818,2758.791662538941,159,1812.5941684734562,195,97,61.45705549759787,10.0,3,17,27.9,48,82.17,7.69,620,4340,9948,28.0,5167940,521447,18.7722,18.4873,0.008057,0.284932,0.015178,40,6.721076342431437,23178840
2021-01-18,2021,1,0,14314.162741947172,3186.2947272059496,172,2083.1195773514387,215,93,101.77573979179606,11.0,2,30,27.2,61,88.28,8.13,576,6336,11819,27.9,6583572,634605,21.718,21.433,0.008557,0.284932,0.01312,40,8.59552908859916,29996622
2021-01-19,2021,1,1,12028.557847926546,2956.4511022171773,176,1689.1540889317753,234,104,39.07440784034951,5.0,1,14,37.8,55,96.34,8.68,544,5440,8998,29.5,6243675,630594,17.7638,17.4789,0.008561,0.284932,0.01604,40,7.441484286237975,18670850
2021-01-20,2021,1,2,13428.670452963472,3132.148153538693,159,1882.9459145433143,192,181,92.37404398986035,6.0,4,12,18.7,44,106.51,8.74,613,6130,8223,20.8,7335279,871034,19.7907,19.5057,0.008669,0.284932,0.014397,40,13.685331858169798,18773109
2021-01-21,2021,1,3,8982.758434168836,2418.580313636608,145,1995.6481771509696,153,137,52.75851502812908,9.0,1,28,22.8,61,104.13,7.71,591,2127,14331,27.7,7000020,559182,16.9883,16.7034,0.006509,0.284932,0.016772,40,11.317549261190116,37403910
2021-01-22,2021,1,4,10610.120117159024,2673.241765689337,138,2546.4578499432223,179,199,87.89467017062246,11.0,4,17,41.2,54,100.49,7.12,631,2650,18296,22.3,7140075,654010,16.2877,16.0028,0.005304,0.284932,0.017494,40,14.926317452575766,56187016
2021-01-23,2021,1,5,14166.046278920285,3400.7001721343995,175,2351.5062693210143,244,182,67.92521548245021,11.0,4,23,33.9,57,93.74,7.75,599,5391,10621,30.7,7325252,890909,21.5674,21.2825,0.007417,0.284932,0.013211,40,6.739095049952076,30885868
2021-01-24,2021,1,6,11639.030074071183,2843.395640560952,151,1609.396169536664,208,110,63.730474883908,9.0,5,0,29.6,53,87.16,8.62,546,6006,9352,20.8,5635875,576741,18.1075,17.8225,0.009076,0.284932,0.015736,40,14.586962544788678,18657240
2021-01-25,2021,1,0,12683.538854105476,2959.8653464077147,189,2082.22263745378,239,89,58.10123498174198,5.0,4,17,24.4,48,104.42,6.74,639,7029,10285,25.8,9276696,862362,21.2089,20.924,0.007997,0.284932,0.013435,40,9.484809377526108,27275820
2021-01-26,2021,1,1,12818.99361027763,2943.2508474097176,196,2177.3449685110295,260,160,100.68202995938755,6.0,1,11,29.5,56,94.39,7.64,633,5697,16832,30.2,8397012,820810,22.4311,22.1462,0.007918,0.284932,0.012703,40,10.06156361208538,47685056
2021-01-27,2021,1,2,14717.095761843088,3474.7053978850035,199,2566.58473570225,220,132,120.19597575876912,5.0,2,29,38.9,48,107.39,6.56,663,7956,20175,29.3,7530253,887231,25.0006,24.7157,0.007805,0.284932,0.011397,40,7.738851045370978,64620525
2021-01-28,2021,1,3,9645.17586027597,2360.955627110701,140,2073.2729135203604,171,201,98.99556225271905,6.0,4,21,26.2,45,91.81,7.26,601,3245,14974,23.2,8786736,697706,15.5659,15.281,0.006043,0.284932,0.018305,40,7.721210669280815,38573024
2021-01-29,2021,1,4,9350.040580971772,2177.3093654575487,126,1885.0734214192157,164,119,54.520090190038665,11.0,2,1,19.3,48,96.53,8.42,641,3461,9233,28.6,5990250,704615,14.8454,14.5605,0.006505,0.284932,0.019193,40,8.950945304187941,21069706
2021-01-30,2021,1,5,13710.192410725194,3186.240503056387,202,2262.9253817397034,263,137,75.13775552226495,10.0,0,23,27.0,62,99.65,8.93,606,7272,15384,27.9,7688996,766109,21.5322,21.2472,0.007606,0.284932,0.013233,40,13.807208275754355,43552104
2021-01-31,2021,1,6,12980.772884553675,3327.7247122062277,196,2265.199683801267,253,202,54.18364113341124,8.0,2,14,19.5,62,98.03,7.2,572,3432,13462,26.0,6778420,889786,21.5249,21.2399,0.007685,0.284932,0.013237,40,7.847023095585962,37707062
