date,year,month,weekday,electricity_kwh,diesel_liters,explosives_kg,coal_output_tonnes,equipment_hours,waste_tons,methane_emission_kg,renewable_share_percent,trees_planted,rainfall_mm,temperature_c,humidity_percent,diesel_price_rs_per_l,power_cost_rs_per_kwh,employees_present,employee_commute_km,transport_distance_km,avg_truck_load_ton,revenue_rs,operational_cost_rs,co2e_tons,co2e_net_after_offset_tons,emission_intensity_tons_per_tonne_coal,offset_absorption_tons_per_day,offset_ratio,green_cover_hectares,lpg_kg,transport_tkm
2021-01-01,2021,1,4,1105.0846956949194,314.1124581718238,117,196.3536344610687,155,120,9.604253859508797,4,5,9,24.2,59,105.54,7.23,576,3456,12596,28.8,8570352,627139,14.7741,14.4891,0.005735,0.284932,0.019286,150,6.634413941778695,32447296
2021-01-02,2021,1,5,1677.4179898892953,385.52299085935107,175,204.17824428095423,252,175,7.077768829633681,4,3,3,21.6,46,102.41,8.1,608,4864,9722,30.7,7017176,636868,21.8593,21.5743,0.008236,0.284932,0.013035,150,13.909843737614876,25802188
2021-01-03,2021,1,6,1777.2153326655266,448.00912123752505,178,219.94737506326533,219,204,4.989803611446063,4,4,23,40.6,54,108.6,6.83,623,7476,12480,25.8,9452908,741338,19.4837,19.1988,0.007016,0.284932,0.014624,150,8.187410645382394,34656960
2021-01-04,2021,1,0,1653.4462058743725,438.97536636122885,147,180.9269488378536,207,155,7.681254865289585,4,1,30,24.8,66,92.05,6.58,547,3829,12180,30.8,5257142,765362,20.2251,19.9401,0.009333,0.284932,0.014088,150,11.697818669806836,26394060
2021-01-05,2021,1,1,1727.3863206817762,428.92131497491306,170,224.8835883188115,244,145,8.390587948537142,4,5,15,27.3,61,85.09,8.62,577,4039,11665,20.4,9264501,576512,23.0631,22.7781,0.008118,0.284932,0.012354,150,9.50082906684351,33140265
2021-01-06,2021,1,2,1714.1669369847718,438.35711993780336,178,192.42167438141036,215,116,5.697546213177695,4,4,15,22.2,47,88.62,7.72,617,6170,10325,22.6,7362387,554913,20.8237,20.5387,0.009342,0.284932,0.013683,150,6.925008676969604,23014425
2021-01-07,2021,1,3,1199.2096543050297,317.3384717434858,127,177.31201352269107,182,116,7.353255798076543,4,2,8,36.8,54,80.79,6.61,573,3438,10932,20.4,7042729,704869,16.6614,16.3765,0.007123,0.284932,0.017101,150,13.990970919545118,25569948
2021-01-08,2021,1,4,1077.6276404967603,275.16503570930917,111,138.333287428458,135,64,2.715549522267651,4,2,8,36.3,45,107.9,7.83,621,2235,8406,28.2,4806300,542368,13.6958,13.4109,0.007908,0.284932,0.020804,150,7.154322796669542,14559192
2021-01-09,2021,1,5,1470.189160425709,421.1894190493456,155,188.6184083755533,226,92,7.158784476299878,4,4,3,38.2,43,94.53,9.06,551,3306,11917,31.1,8057376,804283,19.3226,19.0377,0.007971,0.284932,0.014746,150,14.90574902899742,28886808
2021-01-10,2021,1,6,1630.766915643369,439.4316656309055,157,201.556123554515,205,89,9.066816067539888,4,4,8,30.9,55,91.33,7.63,632,4424,15163,31.8,5533936,706215,20.6687,20.3838,0.008228,0.284932,0.013786,150,11.821777969365453,38089456
