date,year,month,weekday,electricity_kwh,diesel_liters,explosives_kg,coal_output_tonnes,equipment_hours,waste_tons,methane_emission_kg,renewable_share_percent,trees_planted,rainfall_mm,temperature_c,humidity_percent,diesel_price_rs_per_l,power_cost_rs_per_kwh,employees_present,employee_commute_km,transport_distance_km,avg_truck_load_ton,revenue_rs,operational_cost_rs,co2e_tons,co2e_net_after_offset_tons,emission_intensity_tons_per_tonne_coal,offset_absorption_tons_per_day,offset_ratio,green_cover_hectares,lpg_kg,transport_tkm
2024-01-01,2024,1,0,11341.768548488291,2889.36333191512,117,2542.650787088728,155,120,124.36878849890516,24.5,5,9,24.2,59,105.54,7.23,576,3456,12596,28.8,8570352,627139,14.7741,14.4891,0.005735,0.284932,0.019286,40,6.634413941778695,32447296
2024-01-02,2024,1,1,15876.615930938318,3270.383662495607,175,2438.308567136187,252,175,84.52313043576835,18.5,3,3,21.6,46,102.41,8.1,608,4864,9722,30.7,7017176,636868,21.8593,21.5743,0.008236,0.284932,0.013035,40,13.909843737614876,25802188
2024-01-03,2024,1,2,18407.403972696116,4158.829613210509,178,2874.3114998856613,219,204,65.20764295743487,23.5,4,23,40.6,54,108.6,6.83,623,7476,12480,25.8,9452908,741338,19.4837,19.1988,0.007016,0.284932,0.014624,40,8.187410645382394,34656960
2024-01-04,2024,1,3,14709.223755100753,3500.0287681088744,147,2030.792266342845,207,155,86.21729972475391,21.5,1,30,24.8,66,92.05,6.58,547,3829,12180,30.8,5257142,765362,20.2251,19.9401,0.009333,0.284932,0.014088,40,11.697818669806836,26394060
2024-01-05,2024,1,4,16149.683509091605,3594.0486201141503,170,2652.7410569571407,244,145,98.975907088158,18.5,5,15,27.3,61,85.09,8.62,577,4039,11665,20.4,9264501,576512,23.0631,22.7781,0.008118,0.284932,0.012354,40,9.50082906684351,33140265
2024-01-06,2024,1,5,14274.098261276404,3271.563937569639,178,2021.6786016430904,215,116,59.86127757220456,19.5,4,15,22.2,47,88.62,7.72,617,6170,10325,22.6,7362387,554913,20.8237,20.5387,0.009342,0.284932,0.013683,40,6.925008676969604,23014425
2024-01-07,2024,1,6,12229.892226595755,2900.5611059299004,127,2281.540762497448,182,116,94.6171243960036,22.5,2,8,36.8,54,80.79,6.61,573,3438,10932,20.4,7042729,704869,16.6614,16.3765,0.007123,0.284932,0.017101,40,13.990970919545118,25569948
2024-01-08,2024,1,0,10412.924134530704,2383.027259292901,111,1686.526761586457,135,64,33.10733827594662,21.5,2,8,36.3,45,107.9,7.83,621,2235,8406,28.2,4806300,542368,13.6958,13.4109,0.007908,0.284932,0.020804,40,7.154322796669542,14559192
2024-01-09,2024,1,1,14582.199898660509,3744.2002072917994,155,2360.4590135410804,226,92,89.58837840172417,23.5,4,3,38.2,43,94.53,9.06,551,3306,11917,31.1,8057376,804283,19.3226,19.0377,0.007971,0.284932,0.014746,40,14.90574902899742,28886808
2024-01-10,2024,1,2,14182.570543735012,3425.202000352733,157,2211.676556594736,205,89,99.49022726719949,21.5,4,8,30.9,55,91.33,7.63,632,4424,15163,31.8,5533936,706215,20.6687,20.3838,0.008228,0.284932,0.013786,40,11.821777969365453,38089456
2024-01-11,2024,1,3,14239.125033648404,3609.204120002837,153,2209.580161278096,193,92,72.5367224662001,20.5,3,19,20.7,58,104.18,9.44,645,6450,13649,28.2,6196608,747155,19.8595,19.5746,0.008358,0.284932,0.014347,40,10.865735771800855,32430024
2024-01-12,2024,1,4,14916.41098672782,3516.4449965160693,152,2147.0023604301145,198,94,102.14895560317872,21.5,0,26,22.3,52,97.3,7.6,642,5136,12425,24.8,6653064,821785,19.7608,19.4759,0.008625,0.284932,0.014419,40,11.802972075994935,28465675
2024-01-13,2024,1,5,13883.606279272875,3042.508506406195,144,1717.7987426364425,217,69,48.45560612525363,19.5,2,14,37.5,52,96.32,7.16,573,4011,7621,29.2,5716896,734980,17.3823,17.0974,0.009614,0.284932,0.016392,40,9.066543249540064,13778768
2024-01-14,2024,1,6,12202.723995111764,3034.069318754701,141,2586.19968254789,190,175,59.75047399032476,20.5,4,6,19.7,43,105.6,8.67,563,2702,11159,29.6,7715687,606025,15.7588,15.4739,0.006068,0.284932,0.018081,40,14.945430525656398,28979923
2024-01-15,2024,1,0,12028.606972667336,3107.675715053529,132,2838.8114041426115,198,208,76.85778879664133,18.5,2,5,33.1,59,86.52,7.69,574,2410,14578,29.7,9619659,585240,15.6206,15.3356,0.005422,0.284932,0.018241,40,8.33131606831003,41999218
2024-01-16,2024,1,1,17014.322154576854,4066.1326035054094,177,2702.053092769106,223,186,88.47782386182871,23.5,5,13,27.3,49,87.59,8.04,650,7800,10701,28.7,6862950,842971,21.1386,20.8537,0.007777,0.284932,0.013479,40,5.713573240983356,29085318
2024-01-17,2024,1,2,13979.289749738238,3332.334583900747,159,2189.426014366772,195,97,74.23375756865879,21.5,3,17,27.9,48,82.17,7.69,620,4340,9948,28.0,5167940,521447,18.7722,18.4873,0.008057,0.284932,0.015178,40,6.721076342431437,23178840
2024-01-18,2024,1,3,15991.95024491834,3593.1385873599143,172,2349.1038890899604,215,93,114.77103319430854,24.5,2,30,27.2,61,88.28,8.13,576,6336,11819,27.9,6583572,634605,21.718,21.433,0.008557,0.284932,0.01312,40,8.59552908859916,29996622
2024-01-19,2024,1,4,14400.008232994394,3572.501531991311,176,2041.131532989876,234,104,47.21653666675374,23.5,1,14,37.8,55,96.34,8.68,544,5440,8998,29.5,6243675,630594,17.7638,17.4789,0.008561,0.284932,0.01604,40,7.441484286237975,18670850
2024-01-20,2024,1,5,14587.061218470652,3434.231994008256,159,2064.5489248029285,192,181,101.28317108100218,23.5,4,12,18.7,44,106.51,8.74,613,6130,8223,20.8,7335279,871034,19.7907,19.5057,0.008669,0.284932,0.014397,40,13.685331858169798,18773109
2024-01-21,2024,1,6,10983.763370825944,2985.06989776636,145,2463.076899517313,153,137,65.11582607919334,18.5,1,28,22.8,61,104.13,7.71,591,2127,14331,27.7,7000020,559182,16.9883,16.7034,0.006509,0.284932,0.016772,40,11.317549261190116,37403910
2024-01-22,2024,1,0,12245.1913787062,3114.125123434391,138,2966.431419729835,179,199,102.39066443873736,23.5,4,17,41.2,54,100.49,7.12,631,2650,18296,22.3,7140075,654010,16.2877,16.0028,0.005304,0.284932,0.017494,40,14.926317452575766,56187016
2024-01-23,2024,1,1,15540.347666515225,3765.589390626544,175,2603.8188054048373,244,182,75.2134730584616,21.5,4,23,33.9,57,93.74,7.75,599,5391,10621,30.7,7325252,890909,21.5674,21.2825,0.007417,0.284932,0.013211,40,6.739095049952076,30885868
2024-01-24,2024,1,2,13338.18832670337,3289.0455795138364,151,1861.6394010004096,208,110,73.71905397445231,24.5,5,0,29.6,53,87.16,8.62,546,6006,9352,20.8,5635875,576741,18.1075,17.8225,0.009076,0.284932,0.015736,40,14.586962544788678,18657240
2024-01-25,2024,1,3,15903.606732266084,3746.102724699543,189,2635.3293081604297,239,89,73.53482986571335,19.5,4,17,24.4,48,104.42,6.74,639,7029,10285,25.8,9276696,862362,21.2089,20.924,0.007997,0.284932,0.013435,40,9.484809377526108,27275820
2024-01-26,2024,1,4,15834.326291875414,3669.657065384071,196,2714.7225166033186,260,160,125.53076232793318,21.5,1,11,29.5,56,94.39,7.64,633,5697,16832,30.2,8397012,820810,22.4311,22.1462,0.007918,0.284932,0.012703,40,10.06156361208538,47685056
2024-01-27,2024,1,5,17455.315533248682,4159.835156165969,199,3072.654568456887,220,132,143.89578060210212,19.5,2,29,38.9,48,107.39,6.56,663,7956,20175,29.3,7530253,887231,25.0006,24.7157,0.007805,0.284932,0.011397,40,7.738851045370978,64620525
2024-01-28,2024,1,6,10870.475308258896,2685.8314330921203,140,2358.56256533125,171,201,112.61770013033532,18.5,4,21,26.2,45,91.81,7.26,601,3245,14974,23.2,8786736,697706,15.5659,15.281,0.006043,0.284932,0.018305,40,7.721210669280815,38573024
2024-01-29,2024,1,0,10970.153801298946,2578.52831790174,126,2232.4412302483797,164,119,64.56666134811263,22.5,2,1,19.3,48,96.53,8.42,641,3461,9233,28.6,5990250,704615,14.8454,14.5605,0.006505,0.284932,0.019193,40,8.950945304187941,21069706
2024-01-30,2024,1,1,16836.82609493905,3949.551438529686,202,2805.0425534927726,263,137,93.1381137507314,19.5,0,23,27.0,62,99.65,8.93,606,7272,15384,27.9,7688996,766109,21.5322,21.2472,0.007606,0.284932,0.013233,40,13.807208275754355,43552104
2024-01-31,2024,1,2,13897.712941461028,3596.1907653612475,196,2447.945935763601,253,202,58.55493669980766,21.5,2,14,19.5,62,98.03,7.2,572,3432,13462,26.0,6778420,889786,21.5249,21.2399,0.007685,0.284932,0.013237,40,7.847023095585962,37707062
2024-02-01,2024,2,3,17931.49093472276,4410.536724305025,209,2967.9936266833997,269,162,137.6656142120422,23.5,1,14,33.8,56,89.42,8.98,627,6270,16364,27.1,8222361,809787,23.5729,23.2879,0.007646,0.284932,0.012087,40,8.753860210543921,50450212
2024-02-02,2024,2,4,17323.637646375166,4364.824582298046,182,3418.864581943413,232,119,77.83931780296949,21.5,5,8,35.9,58,81.98,7.07,573,6876,16920,26.9,11248532,574998,23.8926,23.6077,0.007065,0.284932,0.011925,40,11.13310333563116,57223440
2024-02-03,2024,2,5,15075.996633177188,4048.528122910957,195,2614.779099875035,233,199,94.34258051201228,22.5,5,28,23.7,47,82.78,8.15,647,7117,10822,21.4,7248649,570854,19.5616,19.2767,0.007429,0.284932,0.014566,40,11.93721501549128,28494326
2024-02-04,2024,2,6,10238.42516140166,2587.970378522238,126,1771.234479596969,143,75,71.65188024259584,18.5,0,4,19.0,54,103.91,8.2,578,2080,9087,28.8,4503366,621640,14.5044,14.2195,0.007823,0.284932,0.019645,40,7.134294917638313,16847298
2024-02-05,2024,2,0,12877.298843699728,2721.0808364166014,121,2589.608409474072,175,159,121.8411723650982,22.5,4,10,38.8,54,96.56,8.43,559,4024,15110,24.0,8952554,753436,15.7788,15.4939,0.005892,0.284932,0.018058,40,14.76037476589003,40464580
2024-02-06,2024,2,1,16609.49006919015,3856.905044852462,181,2455.613543784125,235,166,94.14802914903562,19.5,0,26,33.2,65,106.78,7.89,579,5211,10513,29.1,7898660,702182,22.0576,21.7727,0.008718,0.284932,0.012918,40,9.923705645495176,26597890
2024-02-07,2024,2,2,14707.823263703123,3245.083545014781,149,2073.81356602412,202,68,46.1853676276114,21.5,2,4,38.2,48,92.69,9.49,561,6732,9322,29.2,7360060,867258,20.473,20.1881,0.00894,0.284932,0.013917,40,13.88279465573226,21347380
2024-02-08,2024,2,3,15339.022685952312,3551.668583311525,145,2076.5535352730576,203,76,80.01398943253984,23.5,4,1,41.4,46,96.35,7.79,585,7020,12825,29.1,6452800,801232,19.6102,19.3253,0.008996,0.284932,0.01453,40,10.657232434682854,27958500
2024-02-09,2024,2,4,14538.11691339892,3263.1180105777303,143,2093.523733579081,232,127,82.88286788738793,23.5,2,24,23.1,50,104.41,7.35,560,6160,8813,21.5,6198389,684181,17.5093,17.2244,0.008155,0.284932,0.016273,40,13.045569235866152,18921511
2024-02-10,2024,2,5,16423.461800891753,3996.772817949657,201,2707.704681282153,235,104,56.6815324496264,21.5,2,9,32.8,53,98.49,8.01,656,6560,11916,24.3,9024658,821046,20.5099,20.225,0.007038,0.284932,0.013892,40,10.766659661462654,34723224
2024-02-11,2024,2,6,11573.890412209685,3170.545508436423,126,2798.3632025034626,156,154,73.04202257381918,24.5,1,1,20.3,43,96.96,7.48,581,3137,10439,25.6,10298450,677632,16.0465,15.7616,0.005439,0.284932,0.017757,40,7.225937371429016,30795050
2024-02-12,2024,2,0,12836.334642275167,3111.072908036247,151,2777.147140387564,174,112,89.74622715794642,22.5,4,30,19.5,64,97.01,8.0,646,3100,17139,21.6,6887305,607386,16.0032,15.7183,0.005746,0.284932,0.017805,40,13.785564128408785,47732115
2024-02-13,2024,2,1,15735.439853539774,3868.530851847858,161,2344.174996003999,203,126,82.41988947520193,24.5,4,11,20.9,47,103.82,7.24,624,6864,8782,22.1,6418304,781320,21.4688,21.1839,0.008777,0.284932,0.013272,40,5.896651696529317,21480772
2024-02-14,2024,2,2,15853.94533581759,3800.69135836571,184,2243.0842267472526,190,148,66.11195615676114,20.5,1,18,20.4,64,109.44,7.1,566,6792,15256,31.9,7386250,779750,20.7636,20.4787,0.008743,0.284932,0.013723,40,12.969375271856851,36233000
2024-02-15,2024,2,3,14145.742604403984,3033.143576155203,144,1994.342613322281,224,151,45.81597895470105,23.5,1,13,25.3,53,104.65,9.22,555,3330,9497,23.3,7303800,839277,17.9254,17.6405,0.008075,0.284932,0.015895,40,9.252200756258262,21083340
2024-02-16,2024,2,4,17465.267384862265,3993.1548461970847,194,3116.139014574524,255,229,76.26913672035548,18.5,4,15,31.6,47,101.72,9.21,579,3474,18537,31.0,7849270,937552,23.062,22.777,0.007331,0.284932,0.012355,40,14.470479796016772,58317402
2024-02-17,2024,2,5,16337.494205649751,3661.2154439353862,187,2646.4671019631,235,193,96.3590449041364,21.5,4,10,18.4,51,103.12,9.21,607,3642,13328,25.0,6914417,736030,20.392,20.107,0.0075,0.284932,0.013973,40,9.180411543747352,36238832
2024-02-18,2024,2,6,10456.67011717059,2601.042392882009,139,2186.0388950043007,173,82,53.90742173054822,22.5,2,3,33.5,54,97.39,9.34,608,2553,8713,24.4,6754944,487592,13.6696,13.3847,0.005812,0.284932,0.020844,40,13.764226386125127,20492976
2024-02-19,2024,2,0,13712.58944122615,3353.1529145628065,161,3440.7436739219306,195,121,126.17395311820816,18.5,1,1,41.1,47,99.38,8.57,571,3426,16337,22.8,11806096,767677,17.4811,17.1962,0.005088,0.284932,0.016299,40,12.97346252628432,56133932
2024-02-20,2024,2,1,15882.120639992176,3453.009867667542,156,2325.804234696668,206,130,81.96666906419975,21.5,5,27,36.3,58,93.88,8.37,562,5058,11649,24.4,7304860,573563,18.1702,17.8853,0.008004,0.284932,0.015681,40,13.654921387338293,26443230
2024-02-21,2024,2,2,12408.267810994148,2973.304532868884,143,1684.3924155501747,221,129,61.70641934471161,21.5,2,4,29.4,61,83.87,7.62,633,6963,8442,30.5,3920268,649563,16.6397,16.3547,0.009525,0.284932,0.017124,40,14.117483201401727,14748174
