date,year,month,weekday,electricity_kwh,diesel_liters,explosives_kg,coal_output_tonnes,equipment_hours,waste_tons,methane_emission_kg,renewable_share_percent,trees_planted,rainfall_mm,temperature_c,humidity_percent,diesel_price_rs_per_l,power_cost_rs_per_kwh,employees_present,employee_commute_km,transport_distance_km,avg_truck_load_ton,revenue_rs,operational_cost_rs,co2e_tons,co2e_net_after_offset_tons,emission_intensity_tons_per_tonne_coal,offset_absorption_tons_per_day,offset_ratio,green_cover_hectares,lpg_kg,transport_tkm
2022-01-01,2022,1,5,1534.128597609365,450.5402442930063,117,281.63548479671533,155,120,13.775648712882816,6,5,9,24.2,59,105.54,7.23,576,3456,12596,28.8,8570352,627139,14.7741,14.4891,0.005735,0.284932,0.019286,150,6.634413941778695,32447296
2022-01-02,2022,1,6,2439.941898905961,579.3896039981886,175,306.85265186206755,252,175,10.63694196356828,6,3,3,21.6,46,102.41,8.1,608,4864,9722,30.7,7017176,636868,21.8593,21.5743,0.008236,0.284932,0.013035,150,13.909843737614876,25802188
2022-01-03,2022,1,0,2750.6319600320858,716.4097981565916,178,351.71706803398865,219,204,7.9791772726472034,6,4,23,40.6,54,108.6,6.83,623,7476,12480,25.8,9452908,741338,19.4837,19.1988,0.007016,0.284932,0.014624,150,8.187410645382394,34656960
2022-01-04,2022,1,1,2197.544943643697,602.7955997293044,147,248.446671474866,207,155,10.547805157216276,6,1,30,24.8,66,92.05,6.58,547,3829,12180,30.8,5257142,765362,20.2251,19.9401,0.009333,0.284932,0.014088,150,11.697818669806836,26394060
2022-01-05,2022,1,2,2095.099007085291,537.4956219651808,170,281.8091336408661,244,145,10.514525929578248,6,5,15,27.3,61,85.09,8.62,577,4039,11665,20.4,9264501,576512,23.0631,22.7781,0.008118,0.284932,0.012354,150,9.50082906684351,33140265
2022-01-06,2022,1,3,1957.9782419656665,517.326873934589,178,227.08631560294592,215,116,6.723955509104725,6,4,15,22.2,47,88.62,7.72,617,6170,10325,22.6,7362387,554913,20.8237,20.5387,0.009342,0.284932,0.013683,150,6.925008676969604,23014425
2022-01-07,2022,1,4,1555.7041335340518,425.3406033725215,127,237.6579127093697,182,116,9.85584332313333,6,2,8,36.8,54,80.79,6.61,573,3438,10932,20.4,7042729,704869,16.6614,16.3765,0.007123,0.284932,0.017101,150,13.990970919545118,25569948
2022-01-08,2022,1,5,1456.131494480234,384.1557598582559,111,193.1260234745441,135,64,3.791157504696593,6,2,8,36.3,45,107.9,7.83,621,2235,8406,28.2,4806300,542368,13.6958,13.4109,0.007908,0.284932,0.020804,150,7.154322796669542,14559192
2022-01-09,2022,1,6,1775.2269754177648,525.4608355638973,155,235.31357148394784,226,92,8.931043142130033,6,4,3,38.2,43,94.53,9.06,551,3306,11917,31.1,8057376,804283,19.3226,19.0377,0.007971,0.284932,0.014746,150,14.90574902899742,28886808
2022-01-10,2022,1,0,2367.771215160772,659.2064090409681,157,302.36120612252233,205,89,13.601439606626204,6,4,8,30.9,55,91.33,7.63,632,4424,15163,31.8,5533936,706215,20.6687,20.3838,0.008228,0.284932,0.013786,150,11.821777969365453,38089456
2022-01-11,2022,1,1,2590.808060359725,757.0312865160892,153,329.21632929977085,193,92,10.807606769941971,6,3,19,20.7,58,104.18,9.44,645,6450,13649,28.2,6196608,747155,19.8595,19.5746,0.008358,0.284932,0.014347,150,10.865735771800855,32430024
